zpid,garageSpaces,parkingSpaces,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures
58298431,0,0,0,2,2,0,0,0,0,0
144176918,0,0,0,3,1,0,0,0,0,0
241936608,0,0,0,1,1,0,0,0,0,0
29368594,2,2,0,7,2,0,0,0,0,0
29375933,0,0,0,3,1,1,0,0,0,0
29357371,2,2,0,0,3,0,0,0,0,0
29344897,0,0,0,3,1,0,0,0,0,0
70336913,0,0,0,0,1,0,0,0,0,0
64505930,0,0,0,0,1,0,0,0,0,0
64737390,2,2,0,2,2,0,0,0,0,0
88019366,2,2,0,4,3,1,1,1,1,0
241936607,2,2,0,3,2,3,0,0,0,1
29374432,2,2,0,2,2,1,0,0,1,0
29368593,2,2,0,0,2,0,0,0,0,0
249891254,2,2,0,2,2,1,2,0,0,0
29357369,2,2,0,3,2,0,0,0,0,0
120898908,2,2,0,4,2,0,0,0,0,0
79981846,0,0,0,4,0,1,0,0,0,0
29376431,2,2,0,7,2,0,0,0,0,0
29343397,0,0,0,2,1,0,0,0,0,0
29358974,0,0,0,9,1,0,0,0,0,0
111371886,0,0,0,0,1,0,0,0,0,0
29368581,2,2,0,4,2,1,1,0,2,0
79980405,4,4,0,2,3,0,0,0,0,0
83124867,0,0,0,3,1,1,3,0,0,0
29339395,4,4,0,5,3,0,0,0,0,0
70992361,0,0,0,0,2,0,0,0,0,0
80104386,2,2,0,3,2,0,0,0,0,0
63835340,0,0,0,6,1,0,0,0,0,0
29357366,0,0,0,7,1,0,0,0,0,0
29372930,0,0,0,1,1,1,1,0,0,0
29368548,3,3,0,6,2,0,0,0,0,0
67415405,0,0,0,3,2,0,0,0,0,0
29353930,0,0,0,2,1,0,0,0,0,0
88019360,2,2,0,3,3,0,0,0,0,0
29459839,2,2,0,3,2,0,0,0,0,0
29363429,0,0,0,3,1,0,0,0,1,0
80104364,3,3,0,1,2,0,0,0,0,0
249891249,4,4,0,3,2,2,4,0,0,1
249891101,2,2,0,0,2,0,0,0,0,0
29368546,4,4,0,3,2,0,0,0,0,0
63835337,2,2,0,5,2,1,0,0,0,0
29341393,3,3,0,3,2,0,0,0,0,0
29566857,2,2,0,3,3,0,0,0,0,0
111372714,0,0,0,4,1,0,0,0,0,0
29376426,2,2,0,4,2,2,1,0,0,0
29363428,2,2,0,4,2,3,2,0,1,0
29342404,0,0,0,3,1,0,0,0,0,0
29368532,2,2,0,6,2,0,0,0,0,0
251030097,2,2,0,7,2,2,3,0,0,0
29459837,2,2,0,2,2,0,1,0,0,0
83815356,6,6,0,2,3,1,2,0,1,0
58298927,0,0,0,3,1,0,0,0,0,0
29396879,3,3,0,2,3,0,0,0,0,0
29368531,3,3,0,4,2,0,1,0,1,0
29343391,0,0,0,3,2,2,0,0,1,0
70352403,3,3,0,6,2,0,0,0,0,0
29375925,2,2,0,3,2,3,0,0,1,0
80104481,3,3,0,7,3,2,3,0,2,0
2079519189,2,2,0,0,2,0,0,0,0,0
29363427,0,0,0,3,1,0,0,0,0,0
70992349,0,0,0,4,2,2,2,0,0,0
249891244,3,3,0,4,2,4,0,0,0,0
29341389,0,0,0,3,2,1,0,0,0,0
90240400,4,4,0,2,2,0,0,0,0,0
249912947,3,3,0,4,2,0,1,0,0,0
29395366,2,2,0,2,3,1,1,0,0,0
88023347,4,4,0,4,3,1,1,0,1,1
251034742,0,0,0,3,1,2,1,0,0,0
58298426,0,0,0,4,1,2,0,0,1,0
29348387,2,2,0,5,2,0,0,0,0,0
70330400,4,4,0,4,2,0,0,0,0,0
251032578,0,0,0,0,1,0,1,0,0,0
29368530,0,0,0,0,1,0,0,0,0,0
111372365,0,0,0,1,1,0,0,0,0,0
111973229,0,0,0,1,1,0,0,0,0,0
83830838,3,3,0,4,2,2,0,0,2,0
70992346,2,2,0,4,3,3,0,0,1,0
89550899,3,3,0,3,2,1,0,0,0,0
29344884,0,0,0,4,1,0,0,0,0,0
29374423,2,2,0,5,2,2,1,0,0,0
29368568,9,9,0,4,4,2,2,0,0,0
241931861,0,0,0,3,1,0,0,0,0,0
121657728,0,0,0,3,1,0,0,0,0,0
29358926,6,6,0,4,2,5,5,0,0,0
249891240,2,2,0,4,2,2,2,0,1,0
55299492,0,0,0,3,1,3,1,0,4,0
80104336,0,0,0,3,1,0,1,0,1,0
70352400,0,0,0,3,1,0,0,0,0,0
29341382,2,2,0,3,2,0,0,0,0,0
251030552,0,0,0,4,1,0,0,0,0,0
29374422,0,0,0,3,1,0,1,0,1,0
70992345,2,2,0,8,5,0,0,0,0,1
83818357,2,2,0,6,2,2,1,0,0,0
29462725,0,0,0,2,1,0,0,0,0,0
29351423,2,2,0,4,2,2,0,0,1,0
29461328,0,0,0,4,1,0,1,0,0,0
29340878,3,3,0,5,2,0,0,0,0,0
55299490,0,0,0,4,2,1,0,0,0,0
70352399,0,0,0,0,1,0,0,0,0,0
29395357,0,0,0,3,0,1,0,0,1,0
29462724,2,2,0,3,2,0,0,0,0,0
29372422,2,2,0,4,2,2,0,0,1,0
29340875,0,0,0,3,1,0,0,0,0,0
29368517,0,0,0,3,1,1,0,0,2,0
83823333,3,3,0,3,2,0,0,0,0,0
145657233,3,3,0,3,2,2,1,0,0,0
55299488,4,4,0,2,3,1,1,0,1,0
70992340,2,2,0,4,3,1,1,0,1,0
120900046,0,0,0,4,1,0,0,0,0,0
70345723,1,1,0,4,2,1,1,0,0,0
70336899,3,3,0,4,2,2,1,0,0,0
83833421,3,3,0,5,2,0,0,0,0,0
70335832,2,2,0,1,2,0,0,0,0,0
29370422,0,0,0,3,1,0,0,0,0,0
125750185,6,6,0,6,4,1,2,0,0,0
70992341,0,0,0,6,2,0,0,0,0,0
145656729,2,2,0,4,2,3,2,0,0,0
2077718915,4,4,1,4,2,2,1,0,0,0
70348219,2,0,0,8,3,4,1,0,0,7
88023921,0,0,0,3,2,0,0,0,0,0
29341366,0,0,0,6,1,2,0,0,1,0
251033728,2,2,0,0,1,0,0,0,0,0
70992334,0,0,0,0,2,0,0,0,0,0
202190487,2,2,0,4,2,0,1,0,0,0
120897535,0,0,0,4,1,0,0,0,0,0
80093353,2,2,0,4,2,0,0,0,0,0
29459824,0,0,0,3,1,1,0,0,0,0
29346897,0,0,0,2,1,0,0,0,0,0
29340866,4,4,0,3,2,0,0,0,0,0
64543920,0,0,0,5,1,0,0,0,0,0
202152984,0,0,0,6,1,2,4,0,1,0
70992331,3,3,0,1,3,0,0,0,0,0
29368502,2,2,0,1,2,1,0,0,2,0
111372345,2,2,0,3,2,0,1,0,0,0
251030534,2,2,0,4,2,2,1,0,0,0
29351415,0,0,0,0,1,0,0,0,0,0
29342397,0,0,0,2,3,0,0,0,0,0
241938219,0,0,0,4,1,0,0,0,0,0
29344861,2,2,0,8,2,3,0,2,3,0
29368420,0,0,0,6,1,0,0,0,0,0
29368500,3,3,0,3,2,1,2,0,1,0
83828324,0,0,0,1,1,0,0,0,0,0
80084981,2,2,0,3,2,2,1,0,0,1
70326844,2,2,0,4,2,0,1,0,0,0
70348860,0,0,0,4,1,0,0,0,0,0
249878946,2,2,0,0,2,0,0,0,0,0
29351414,2,2,0,4,2,0,0,0,1,0
70336895,3,3,0,4,3,1,1,0,0,0
70345711,0,0,0,3,1,0,0,0,0,0
70992322,0,0,0,2,2,0,0,0,0,0
145658498,2,2,0,3,2,0,0,0,0,0
145655717,0,0,0,3,1,1,1,0,1,0
29360913,2,2,0,7,2,0,0,0,0,0
64696895,0,0,0,3,1,0,0,0,0,0
185217321,0,0,0,2,2,0,0,0,0,0
70345708,2,2,0,4,2,0,0,0,0,0
29377417,2,2,0,3,2,3,1,0,1,0
83124822,3,3,0,3,2,1,1,0,1,0
84138980,3,3,0,3,2,3,0,0,1,0
83824836,2,2,0,4,2,2,0,0,0,0
2088560215,3,3,0,7,2,0,0,0,0,1
29363410,2,2,0,3,2,2,0,0,0,0
2099325819,2,2,0,3,2,2,2,0,1,0
70352394,0,0,0,1,1,2,2,0,2,0
29462708,1,1,0,7,2,0,0,0,0,0
29344853,2,2,0,5,2,0,0,0,0,0
83815821,0,0,0,2,1,3,2,0,1,0
64640832,2,2,0,1,2,0,0,0,0,0
29461309,2,2,0,3,2,0,0,0,0,0
55299479,3,3,0,3,2,0,0,0,0,0
29375915,0,0,0,5,1,1,1,0,0,0
70336894,3,3,0,0,2,1,2,0,1,0
29344851,0,0,0,4,1,0,0,0,1,0
29351909,3,3,0,5,2,2,2,0,1,0
29439010,4,4,0,4,2,3,0,0,0,0
111371325,2,2,0,2,2,1,2,0,0,0
28594363,2,0,0,4,4,1,0,0,0,2
29461308,0,0,0,4,1,1,1,0,0,0
124843201,3,3,0,4,2,2,2,0,0,0
60138195,2,2,0,1,3,0,0,0,0,0
111969317,2,2,0,4,3,1,0,0,1,0
29370415,2,2,0,0,2,0,0,0,0,0
120895893,3,3,0,4,2,0,0,0,0,0
89551842,3,3,0,4,2,1,1,0,1,0
80094819,3,3,0,4,2,0,0,0,0,0
111372822,0,0,0,3,1,0,2,0,0,0
29471186,0,0,0,2,1,0,0,0,0,0
